Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
73	73	U1_201211_073	Sta Blank	4.05	3
74	74	U1_201211_074	Sta 0.005 µg/ml	4.24	370
75	75	U1_201211_075	Sta 0.01 µg/ml	4.25	406
76	76	U1_201211_076	Sta 0.02 µg/ml	4.24	1178
77	77	U1_201211_077	Sta 0.05 µg/ml	4.25	2565
78	78	U1_201211_078	Sta 0.1 µg/ml	4.24	5354
79	79	U1_201211_079	Sta 0.2 µg/ml	4.24	10580
80	80	U1_201211_080	Sta 0.5 µg/ml	4.24	31076
81	81	U1_201211_081	Sta 1 µg/ml	4.24	68416
82	82	U1_201211_082	Sta 2 µg/ml	4.23	162000
83	83	U1_201211_083	Blank	4.08	4
84	84	U1_201211_084	Sta 0.1 µg/ml	4.24	6406
85	85	U1_201211_085	Blank	4.04	11
86	86	U1_201211_086	20201008_W_1_12-GLY	4.22	266
87	87	U1_201211_087	20201023_W_1_2-GLY	4.23	172
88	88	U1_201211_088	20201023_W_3-GLY	4.09	18
89	89	U1_201211_089	20201023_W_4-GLY	4.21	115
90	90	U1_201211_090	20201023_W_5-GLY	4.25	63
91	91	U1_201211_091	20201023_W_6-GLY	3.95	16
92	92	U1_201211_092	20201023_W_7-GLY	4.22	60
93	93	U1_201211_093	20201023_W_8-GLY	4.04	5
94	94	U1_201211_094	20201023_W_9_12-GLY	4.28	112
95	95	U1_201211_095	Blank	4.03	4
96	96	U1_201211_096	Sta 0.1 µg/ml	4.24	5657
97	97	U1_201211_097	Blank	4.03	21
98	98	U1_201211_098	20190528_S_1-GLY	4.23	1132
99	99	U1_201211_099	20190528_S_2-GLY	4.24	767
100	100	U1_201211_100	20190528_S_3-GLY	4.24	887
101	101	U1_201211_101	20190528_S_4-GLY	4.24	1044
102	102	U1_201211_102	20190528_S_5-GLY	4.24	1378
103	103	U1_201211_103	20190528_S_6-GLY	4.24	1330
104	104	U1_201211_104	20190528_S_7-GLY	4.23	1626
105	105	U1_201211_105	20190528_S_8_12-GLY	4.24	2005
106	106	U1_201211_106	Blank	3.81	3
107	107	U1_201211_107	Sta 0.1 µg/ml	4.24	5819
108	108	U1_201211_108	Blank	4.02	15
109	109	U1_201211_109	20190818_S_1-GLY	4.23	274
110	110	U1_201211_110	20190818_S_2-GLY	4.25	268
111	111	U1_201211_111	20190818_S_3-GLY	4.23	241
112	112	U1_201211_112	20190818_S_4-GLY	4.24	184
113	113	U1_201211_113	20190818_S_5-GLY	4.23	214
114	114	U1_201211_114	20190818_S_6-GLY	4.23	270
115	115	U1_201211_115	20190818_S_7-GLY	4.24	244
116	116	U1_201211_116	20190818_S_8_9-GLY	4.23	326
117	117	U1_201211_117	20190818_S_10_12-GLY	4.24	425
118	118	U1_201211_118	Blank	4.02	8
119	119	U1_201211_119	Sta 0.1 µg/ml	4.24	5107
120	120	U1_201211_120	Blank	4.24	4
121	121	U1_201211_121	20200617_S_1_4-GLY	4.23	1443
122	122	U1_201211_122	20200617_S_5-GLY	4.23	1913
123	123	U1_201211_123	20200617_S_6-GLY	4.23	1800
124	124	U1_201211_124	20200617_S_7-GLY	4.23	1198
125	125	U1_201211_125	20200617_S_8_9-GLY	4.23	1710
126	126	U1_201211_126	20200617_S_10_12-GLY	4.23	1547
127	127	U1_201211_127	20200813_S_1_2-GLY	4.24	326
128	128	U1_201211_128	20200813_S_3-GLY	4.23	312
129	129	U1_201211_129	20200813_S_4-GLY	4.24	584
130	130	U1_201211_130	Blank	4.00	2
131	131	U1_201211_131	Sta 0.1 µg/ml	4.24	4653
132	132	U1_201211_132	Blank	3.96	13
133	133	U1_201211_133	20200813_S_5-GLY	4.24	469
134	134	U1_201211_134	20200813_S_6-GLY	4.23	526
