Quantify Compound Summary Report 

Printed Fri Oct 08 13:17:35 2021

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
42	42	U1_04122020_042	20190415_C_C-GLY	4.22	14038
43	43	U1_04122020_043	20190415_C_D-GLY	4.22	14302
44	44	U1_04122020_044	20190415_C_E-GLY	4.21	14137
45	45	U1_04122020_045	20190415_C_F-GLY	3.98	11
46	46	U1_04122020_046	20190510_S_1_9-GLY	4.21	13751
47	47	U1_04122020_047	Blank	3.99	3
48	48	U1_04122020_048	Sta 0.1 µg/ml	4.22	14446
49	49	U1_04122020_049	Blank	4.02	3
50	50	U1_04122020_050	20190511_C_G-GLY	4.21	14531
51	51	U1_04122020_051	20190511_C_H-GLY	4.21	15564
52	52	U1_04122020_052	20190511_C_I-GLY	4.22	10585
53	53	U1_04122020_053	20190511_C_J-GLY	4.21	12886
54	54	U1_04122020_054	20190511_C_K-GLY	4.21	11878
55	55	U1_04122020_055	20190511_C_L-GLY	4.21	13214
56	56	U1_04122020_056	20190511_C_M-GLY	4.21	12900
57	57	U1_04122020_057	20190511_C_N-GLY	4.21	15182
58	58	U1_04122020_058	20190511_C_O-GLY	4.21	14869
59	59	U1_04122020_059	Blank	4.03	11
60	60	U1_04122020_060	Sta 0.1 µg/ml	4.21	15688
61	61	U1_04122020_061	Blank	4.06	27
62	62	U1_04122020_062	20190528_C_A-GLY	4.21	16017
63	63	U1_04122020_063	20190528_C_B-GLY	4.21	16380
64	64	U1_04122020_064	20190528_C_C-GLY	4.21	15590
65	65	U1_04122020_065	20190528_C_D-GLY	4.21	15801
66	66	U1_04122020_066	20190528_C_E-GLY	4.21	9974
67	67	U1_04122020_067	20190528_C_F-GLY	4.21	16307
68	68	U1_04122020_068	20190528_C_G-GLY	4.21	15319
69	69	U1_04122020_069	20190528_C_H-GLY	4.21	14694
70	70	U1_04122020_070	Blank	4.10	8
71	71	U1_04122020_071	Sta 0.1 µg/ml	4.22	15627
72	72	U1_04122020_072	Blank	3.96	11
73	73	U1_04122020_073	Sta Blank	4.21	15155
74	74	U1_04122020_074	Sta 0.005 µg/ml	4.21	15881
75	75	U1_04122020_075	Sta 0.01 µg/ml	4.22	15434
76	76	U1_04122020_076	Sta 0.02 µg/ml	4.21	14659
77	77	U1_04122020_077	Sta 0.05 µg/ml	4.22	16694
78	78	U1_04122020_078	Sta 0.1 µg/ml	4.21	15797
79	79	U1_04122020_079	Sta 0.2 µg/ml	4.21	16258
80	80	U1_04122020_080	Sta 0.5 µg/ml	4.21	17019
81	81	U1_04122020_081	Sta 1 µg/ml	4.21	17686
82	82	U1_04122020_082	Sta 2 µg/ml	4.20	21942
83	83	U1_04122020_083	Blank	4.03	3
84	84	U1_04122020_084	Sta 0.1 µg/ml	4.22	15700
85	85	U1_04122020_085	Blank	4.06	42
86	86	U1_04122020_086	20190606_S_1_2-GLY	4.21	15483
87	87	U1_04122020_087	20190615_S_1_9-GLY	4.21	14560
88	88	U1_04122020_088	20190819_C_I-GLY	4.21	16949
89	89	U1_04122020_089	20190819_C_J-GLY	4.21	15706
90	90	U1_04122020_090	20190819_C_K-GLY	4.21	15783
91	91	U1_04122020_091	20190819_C_L-GLY	4.20	3864
92	92	U1_04122020_092	20190819_C_M-GLY	4.21	14072
93	93	U1_04122020_093	20190819_C_N-GLY	4.21	17045
94	94	U1_04122020_094	20190819_C_O-GLY	4.21	14078
95	95	U1_04122020_095	20190819_C_P-GLY	4.21	15686
96	96	U1_04122020_096	20190819_C_Q-GLY	4.21	16505
97	97	U1_04122020_097	Blank	4.17	4
98	98	U1_04122020_098	Sta 0.1 µg/ml	4.21	15644
99	99	U1_04122020_099	Blank	4.00	12
100	100	U1_04122020_100	20200304_C_A-GLY	4.21	10915
101	101	U1_04122020_101	20200304_C_B-GLY	4.22	9797
102	102	U1_04122020_102	20200304_C_C-GLY	4.21	9399
