Quantify Compound Summary Report 																					
																					
Printed Tue Jul 28 19:12:31 2020																					
																					
Compound 1:  13C-Caffeine																					
																					
	Name	Sample Text	RT	Area		1? Area															
94	TQS3_200727_097	14G_b	8.44	8381.371	6320.935	1307.633	684.3195	16%	11%	FALSE											
95	TQS3_200727_098	14I	8.44	7126.785	5066.349	1231.302	607.9885	17%	12%	GOOD											
96	TQS3_200727_099	16D	8.44	2219575.25	2217514.814	336654.281	336030.9675	15%	15%	GOOD											
97	TQS3_200727_100	16I	8.44	14401.323	12340.887	2381.007	1757.6935	17%	14%	GOOD											
98	TQS3_200727_101	17E	8.44	6769.561	4709.125	1365.102	741.7885	20%	16%	GOOD											
99	TQS3_200727_102	Std Mx B 5ng/mL	8.44	69759.938	67699.502	10577.832	9954.5185	15%	15%	GOOD											
100	TQS3_200727_103	17F	8.44	299722.031	297661.595	44532.586	43909.2725	15%	15%	GOOD											
101	TQS3_200727_104	20G	8.44	8714.143	6653.707	1646.243	1022.9295	19%	15%	GOOD											
102	TQS3_200727_105	21A	8.44	364980.875	362920.439	54806.828	54183.5145	15%	15%	GOOD											
103	TQS3_200727_106	21F	8.44	7649.343	5588.907	1466.688	843.3745	19%	15%	GOOD											
104	TQS3_200727_107	21F_spike	8.44	22612.014	20551.578	3326.362	2703.0485	15%	13%	GOOD											
105	TQS3_200727_108	21J	8.44	879801.375	877740.939	130485.625	129862.3115	15%	15%	GOOD											
106	TQS3_200727_109	Std Mx B 5ng/mL	8.44	76354.719	74294.283	11915.298	11291.9845	16%	15%	GOOD							Calibration curve				
107	TQS3_200727_110	mq H2O	8.45	2245.285	184.849	706.139	82.8255	31%	45%	FALSE								Conc.		Trueness	
108	TQS3_200727_111	Cal 0	8.44	2347.905	287.469	732.609	109.2955	31%	38%	FALSE							0				
109	TQS3_200727_112	Cal 0.125	8.44	3335.948	1275.512	939.954	316.6405	28%	25%	FALSE							0.125	0.330523077	0.131756226	264%	105%
110	TQS3_200727_113	Cal 0.25	8.44	4325.845	2265.409	1116.68	493.3665	26%	22%	FALSE							0.25	0.428601285	0.234009355	171%	94%
111	TQS3_200727_114	Cal 0.5	8.44	6293.813	4233.377	1283.035	659.7215	20%	16%	GOOD							0.5	0.623585991	0.437294026	125%	87%
112	TQS3_200727_115	Cal 1	8.44	12505.696	10445.26	2118.011	1494.6975	17%	14%	GOOD							1	1.239054423	1.078961265	124%	108%
113	TQS3_200727_116	Cal 2.5	8.44	26320.396	24259.96	3868.162	3244.8485	15%	13%	GOOD							2.5	2.607803922	2.505974683	104%	100%
114	TQS3_200727_117	Cal 5	8.44	50464.676	48404.24	7715.27	7091.9565	15%	15%	GOOD							5	5	5	100%	100%
115	TQS3_200727_118	Cal 10	8.44	112583.445	110523.009	16739.189	16115.8755	15%	15%	GOOD							10	11.15467827	11.41666608	112%	114%
116	TQS3_200727_119	Cal 25	8.44	327689.781	325629.345	48526.395	47903.0815	15%	15%	GOOD							25	32.46724313	33.63644848	130%	135%
																					
Compound 3:  Chlorantranilliprole																					
																					
	Name	Sample Text	RT	Area		1? Area															
1	TQS3_200727_004	mq H2O	5.92	1520.691		1252.545															
2	TQS3_200727_005	Cal 0	5.92	1293.064		1041.886															
3	TQS3_200727_006	Cal 0.125	5.92	4914.604		3949.614															
4	TQS3_200727_007	Cal 0.25	5.92	8034.342		6634.756															
5	TQS3_200727_008	Cal 0.5	5.92	15557.294		12983.298															
6	TQS3_200727_009	Cal 1	5.92	36274.16		30395.92															
7	TQS3_200727_010	Cal 2.5	5.92	66590.523		55532.117															
8	TQS3_200727_011	Cal 5	5.92	141416.703		117199.328															
9	TQS3_200727_012	Cal 10	5.92	318789.344		263283.813															
10	TQS3_200727_013	Cal 25	5.92	742003.563		615190.188															
11	TQS3_200727_014	mq H2O	5.92	1476.816		1175.318															
12	TQS3_200727_015	Std M2 5ng/mL	5.92	164858.141		134617.625															
13	TQS3_200727_016	Blank chemical_2	5.93	1595.439		1278.883															
14	TQS3_200727_017	Blank soil	5.93	1582.372		1168.026															
15	TQS3_200727_018	Blank soil spiked	5.92	42394.797		35036.125															
16	TQS3_200727_019	Std M 1 5ng/mL	5.92	170786.781		139216.781															
17	TQS3_200727_020	20I	5.92	3417.52		2955.619															
18	TQS3_200727_021	20I_b	5.92	3528.268		2885.934															
19	TQS3_200727_022	21C	5.92	3657.87		2914.52															
20	TQS3_200727_023	21H	5.92	124236.266		104061.82															
21	TQS3_200727_024	21H_spike	5.92	132120.188		107886.523															
22	TQS3_200727_025	22G	5.92	3112.085		2624.435															
23	TQS3_200727_026	Std Mx B 5ng/mL	5.92	158630		132859.891															
24	TQS3_200727_027	23C	5.92	68600.313		56722.008															
25	TQS3_200727_028	23J	5.92	114693.063		93622.242															
26	TQS3_200727_029	25A	5.92	3272.326		2760.661															
27	TQS3_200727_030	25A_spike	5.92	45823.309		38692.809															
28	TQS3_200727_031	27C	5.92	75273.719		62470.969															
29	TQS3_200727_032	27J	5.92	83022.844		69274.625															
30	TQS3_200727_033	28D	5.93	4513.708		3951.166															
31	TQS3_200727_034	28G	5.93	5954.733		4844.941															
32	TQS3_200727_035	28G_spike	5.92	47761.723		39689.715															
33	TQS3_200727_036	Std Mx B 5ng/mL	5.92	157390.609		133342															
34	TQS3_200727_037	30D	5.93	3947.173		3349.725															
35	TQS3_200727_038	31A	5.92	69400.938		58747.516															
36	TQS3_200727_039	31F	5.92	80470.031		67463.805															
37	TQS3_200727_040	31J	5.92	3905.549		3182.431															
38	TQS3_200727_041	33F	5.92	74565.383		61855.125															
